1000;AS 896;Kuala Lumpur ;Kerteh ;Sat Jan 20 16:57:05 MYT 2024;null;02:00;
1001;AS 321;Kuala Lumpur ;Kerteh ;Sat Jan 20 16:57:05 MYT 2024;null;19:55;
1002;AS 551;Kuala Lumpur ;Kerteh ;Sat Jan 20 16:57:05 MYT 2024;null;14:45;
1003;AS 968;Kuala Lumpur ;Kerteh ;Sat Jan 20 16:57:05 MYT 2024;null;09:15;
1004;AS 141;Kuala Lumpur ;Kerteh ;Sat Jan 20 16:57:05 MYT 2024;null;07:05;
1005;AS 275;Long Akah ;Kuala Lumpur ;Fri Jan 19 16:57:27 MYT 2024;null;14:45;
1006;AS 575;Long Akah ;Kuala Lumpur ;Fri Jan 19 16:57:27 MYT 2024;null;17:00;
1007;AS 487;Long Akah ;Kuala Lumpur ;Fri Jan 19 16:57:27 MYT 2024;null;07:05;
1008;AS 360;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;12:05;
1009;AS 687;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;21:15;
1010;AS 290;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;04:55;
1011;AS 216;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;14:45;
1012;AS 504;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;07:05;
1013;AS 291;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;23:00;
1014;AS 402;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;02:00;
1015;AS 657;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;09:15;
1016;AS 269;Marudi ;Alor Setar ;Fri Jan 19 16:58:45 MYT 2024;null;19:55;
1017;AS 466;Kerteh ;Kuala Lumpur ;Fri Jan 19 16:59:50 MYT 2024;null;21:15;
1018;AS 515;Kerteh ;Kuala Lumpur ;Fri Jan 19 16:59:50 MYT 2024;null;12:05;
1019;AS 624;Kerteh ;Kuala Lumpur ;Fri Jan 19 16:59:50 MYT 2024;null;17:00;
1020;AS 772;Kerteh ;Kuala Lumpur ;Fri Jan 19 16:59:50 MYT 2024;null;14:45;
1021;AS 815;Kerteh ;Kuala Lumpur ;Fri Jan 19 16:59:50 MYT 2024;null;04:55;
1022;AS 703;Alor Setar ;Penang ;Sun Jan 21 17:09:36 MYT 2024;null;19:55;
1023;AS 153;Alor Setar ;Penang ;Sun Jan 21 17:09:36 MYT 2024;null;14:45;
1024;AS 971;Alor Setar ;Penang ;Sun Jan 21 17:09:36 MYT 2024;null;07:05;
1025;AS 270;Alor Setar ;Penang ;Sun Jan 21 17:09:36 MYT 2024;null;04:55;
1026;AS 922;Alor Setar ;Penang ;Sun Jan 21 17:09:36 MYT 2024;null;17:00;
1027;AS 478;Kerteh ;Alor Setar ;Fri Jan 19 17:11:58 MYT 2024;null;21:15;
1028;AS 343;Kerteh ;Alor Setar ;Fri Jan 19 17:11:58 MYT 2024;null;17:00;
1029;AS 807;Kerteh ;Alor Setar ;Fri Jan 19 17:11:58 MYT 2024;null;02:00;
1030;AS 231;Kerteh ;Alor Setar ;Fri Jan 19 17:11:58 MYT 2024;null;04:55;
1031;AS 429;Kerteh ;Alor Setar ;Fri Jan 19 17:11:58 MYT 2024;null;19:55;
1032;AS 770;Kuala Lumpur ;Alor Setar ;Fri Jan 26 17:12:28 MYT 2024;null;12:05;
1033;AS 807;Kuala Lumpur ;Alor Setar ;Fri Jan 26 17:12:28 MYT 2024;null;07:05;
1034;AS 887;Kuala Lumpur ;Alor Setar ;Fri Jan 26 17:12:28 MYT 2024;null;19:55;
1035;AS 413;Kuala Lumpur ;Alor Setar ;Fri Jan 26 17:12:28 MYT 2024;null;02:00;
1036;AS 124;Kuala Lumpur ;Alor Setar ;Fri Jan 26 17:12:28 MYT 2024;null;21:15;
1037;AS 879;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;17:00;
1038;AS 181;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;21:15;
1039;AS 368;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;07:05;
1040;AS 710;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;04:55;
1041;AS 837;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;02:00;
1042;AS 237;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;19:55;
1043;AS 432;Kerteh ;Kuala Lumpur ;Sun Jan 21 17:14:09 MYT 2024;null;12:05;
1044;AS 311;Alor Setar ;Labuan ;Fri Jan 26 17:16:08 MYT 2024;null;07:05;
1045;AS 323;Alor Setar ;Labuan ;Fri Jan 26 17:16:08 MYT 2024;null;14:45;
1046;AS 997;Alor Setar ;Kuala Lumpur ;Fri Jan 26 00:16:32 MYT 2024;null;14:45;
1047;AS 224;Alor Setar ;Kuala Lumpur ;Fri Jan 26 00:16:32 MYT 2024;null;07:05;
1048;AS 801;Kuala Lumpur ;Penang ;Sat Jan 20 01:12:26 MYT 2024;null;04:55;
1049;AS 871;Kuala Lumpur ;Mulu ;Sat Jan 20 01:14:09 MYT 2024;null;17:00;
1050;AS 418;Kuala Lumpur ;Mulu ;Sat Jan 20 01:14:09 MYT 2024;null;09:15;
1051;AS 571;Kuala Lumpur ;Mulu ;Sat Jan 20 01:14:09 MYT 2024;null;07:05;
1052;AS 807;Kuala Lumpur ;Mulu ;Sat Jan 20 01:14:09 MYT 2024;null;23:00;
1053;AS 501;Kuala Lumpur ;Mulu ;Sat Jan 20 01:14:09 MYT 2024;null;12:05;
1054;AS 765;Kuala Lumpur ;Kerteh ;Fri Jan 26 01:18:33 MYT 2024;null;14:45;
1055;AS 214;Kuala Lumpur ;Kerteh ;Fri Jan 26 01:18:33 MYT 2024;null;21:15;
1056;AS 451;Kuala Lumpur ;Kerteh ;Fri Jan 26 01:18:33 MYT 2024;null;19:55;
1057;AS 147;Kuala Lumpur ;Kerteh ;Fri Jan 26 01:18:33 MYT 2024;null;17:00;
1058;AS 275;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;09:15;
1059;AS 135;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;23:00;
1060;AS 262;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;14:45;
1061;AS 159;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;21:15;
1062;AS 642;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;12:05;
1063;AS 613;Kuala Lumpur ;Johor Bahru ;Sat Jan 20 01:45:52 MYT 2024;null;17:00;
1064;AS 601;Johor Bahru ;Lawa ;Sat Jan 20 01:55:32 MYT 2024;null;23:00;
1065;AS 124;Johor Bahru ;Lawa ;Sat Jan 20 01:55:32 MYT 2024;null;09:15;
1066;AS 229;Johor Bahru ;Lawa ;Sat Jan 20 01:55:32 MYT 2024;null;17:00;
1067;AS 461;Johor Bahru ;Lawa ;Sat Jan 20 01:55:32 MYT 2024;null;02:00;
1068;AS 174;Kerteh ;Kuala Lumpur ;Thu Jan 25 02:05:49 MYT 2024;null;04:55;
1069;AS 104;Alor Setar ;Kerteh ;Thu Jan 25 02:07:23 MYT 2024;null;23:00;
1070;AS 645;Alor Setar ;Kerteh ;Thu Jan 25 02:07:23 MYT 2024;null;04:55;
